X,Y,Z
-80.5284375,43.6584375,408.00
-80.5251042,43.6584375,412.00
-80.5217708,43.6584375,414.00
-80.5184375,43.6584375,392.00
-80.5151042,43.6584375,389.50
-80.5117708,43.6584375,385.50
-80.5084375,43.6584375,379.50
-80.5051042,43.6584375,373.00
-80.5017708,43.6584375,372.25
-80.4984375,43.6584375,386.50
-80.4951042,43.6584375,385.75
-80.4917708,43.6584375,382.50
-80.4884375,43.6584375,382.00
-80.4851042,43.6584375,380.25
-80.4817708,43.6584375,378.75
-80.4784375,43.6584375,375.00
-80.4751042,43.6584375,372.00
-80.4717708,43.6584375,380.00
-80.4684375,43.6584375,373.50
-80.4651042,43.6584375,368.50
-80.4617708,43.6584375,367.00
-80.4584375,43.6584375,364.75
-80.4551042,43.6584375,362.00
-80.4517708,43.6584375,348.25
-80.4484375,43.6584375,360.25
-80.4451042,43.6584375,384.25
-80.4417708,43.6584375,380.00
-80.4384375,43.6584375,378.75
-80.4351042,43.6584375,379.75
-80.4317708,43.6584375,381.00
-80.4284375,43.6584375,378.00
-80.4251042,43.6584375,379.25
-80.4217708,43.6584375,384.50
-80.4184375,43.6584375,380.50
-80.4151042,43.6584375,381.50
-80.4117708,43.6584375,378.75
-80.4084375,43.6584375,371.50
-80.4051042,43.6584375,369.50
-80.4017708,43.6584375,368.00
-80.3984375,43.6584375,367.25
-80.3951042,43.6584375,365.50
-80.3917708,43.6584375,365.00
-80.3884375,43.6584375,364.00
-80.3851042,43.6584375,368.00
-80.3817708,43.6584375,368.25
-80.3784375,43.6584375,372.75
-80.3751042,43.6584375,374.50
-80.3717708,43.6584375,379.50
-80.3684375,43.6584375,381.00
-80.3651042,43.6584375,388.25
-80.3617708,43.6584375,390.00
-80.3584375,43.6584375,390.50
-80.3551042,43.6584375,391.50
-80.3517708,43.6584375,394.00
-80.3484375,43.6584375,396.00
-80.3451042,43.6584375,396.00
-80.3417708,43.6584375,395.00
-80.3384375,43.6584375,397.00
-80.3351042,43.6584375,395.00
-80.3317708,43.6584375,393.00
-80.3284375,43.6584375,391.50
-80.3251042,43.6584375,390.00
-80.3217708,43.6584375,392.25
-80.3184375,43.6584375,391.00
-80.3151042,43.6584375,389.00
-80.3117708,43.6584375,388.75
-80.3084375,43.6584375,390.00
-80.3051042,43.6584375,386.50
-80.3017708,43.6584375,385.00
-80.2984375,43.6584375,384.00
-80.2951042,43.6584375,370.25
-80.2917708,43.6584375,382.25
-80.2884375,43.6584375,384.75
-80.2851042,43.6584375,385.25
-80.2817708,43.6584375,384.00
-80.2784375,43.6584375,381.00
-80.2751042,43.6584375,380.00
-80.2717708,43.6584375,382.00
-80.2684375,43.6584375,375.00
-80.2651042,43.6584375,373.00
-80.2617708,43.6584375,374.00
-80.2584375,43.6584375,367.75
-80.2551042,43.6584375,363.00
-80.2517708,43.6584375,374.75
-80.2484375,43.6584375,373.00
-80.2451042,43.6584375,384.25
-80.2417708,43.6584375,379.50
-80.2384375,43.6584375,374.00
-80.2351042,43.6584375,376.75
-80.2317708,43.6584375,381.00
-80.2284375,43.6584375,373.00
-80.2251042,43.6584375,368.25
-80.2217708,43.6584375,367.00
-80.2184375,43.6584375,370.75
-80.2151042,43.6584375,375.00
-80.2117708,43.6584375,380.00
-80.2084375,43.6584375,374.00
-80.2051042,43.6584375,375.25
-80.2017708,43.6584375,386.00
-80.1984375,43.6584375,391.00
-80.1951042,43.6584375,388.00
-80.1917708,43.6584375,388.00
-80.8951042,43.6551042,394.00
-80.8917708,43.6551042,395.00
-80.8884375,43.6551042,397.00
-80.8851042,43.6551042,399.50
-80.8817708,43.6551042,400.00
-80.8784375,43.6551042,400.00
-80.8751042,43.6551042,400.00
-80.8717708,43.6551042,398.00
-80.8684375,43.6551042,396.00
-80.8651042,43.6551042,395.00
-80.8617708,43.6551042,391.00
-80.8584375,43.6551042,391.00
-80.8551042,43.6551042,395.00
-80.8517708,43.6551042,395.00
-80.8484375,43.6551042,395.00
-80.8451042,43.6551042,394.00
-80.8417708,43.6551042,395.00
-80.8384375,43.6551042,395.00
-80.8351042,43.6551042,396.00
-80.8317708,43.6551042,397.00
-80.8284375,43.6551042,396.00
-80.8251042,43.6551042,396.00
-80.8217708,43.6551042,396.00
-80.8184375,43.6551042,398.25
-80.8151042,43.6551042,400.00
-80.8117708,43.6551042,400.00
-80.8084375,43.6551042,400.00
-80.8051042,43.6551042,398.00
-80.8017708,43.6551042,398.25
-80.7984375,43.6551042,400.00
-80.7951042,43.6551042,401.00
-80.7917708,43.6551042,402.00
-80.7884375,43.6551042,403.75
-80.7851042,43.6551042,405.00
-80.7817708,43.6551042,404.00
-80.7784375,43.6551042,403.00
-80.7751042,43.6551042,400.75
-80.7717708,43.6551042,401.00
-80.7684375,43.6551042,401.50
-80.7651042,43.6551042,404.50
-80.7617708,43.6551042,403.75
-80.7584375,43.6551042,405.00
-80.7551042,43.6551042,405.00
-80.7517708,43.6551042,405.00
-80.7484375,43.6551042,405.00
-80.7451042,43.6551042,407.00
-80.7417708,43.6551042,408.00
